,,,,,,,,,,,,,
,,,,,,,,,,,,,
ID,Name,Source,Link ,Sensor involved,Sensor Location,Frequency (Hz),# Records,# Subjects,Duration,Movement,Application,Purpose,Complete?
K001,Volleyball Performance & Biometrics Dataset,Kaggle,Volleyball Performance & Biometrics Dataset,"Accelerometer, Gyroscope, temperrature, heart rate",ND,ND,"1,462",25,10 sessions over 2 years,"Jump, Landing",Volley,Performance,TRUE
K002,Motion Attitude Error Detection Dataset,Kaggle,Motion Attitude Error Detection Dataset | Kaggle,"Accelerometer, Gyroscope, temperrature, heart rate","Forearms, leg/shank",ND,"~5,000",100 (age from 18 to 49),ND,"Pushups, squat, lunge etc.",GYM,Posture corrections,TRUE
K003,RecGym: Gym Workouts Recognition Dataset,Kaggle,RecGym: Gym Workouts Recognition Dataset,"Accelerometer, Gyroscope, Body capacitance","Wirst, pocket, calf",20,ND,10,5 sessions in 5 days (1hr each),"Adductor, ArmCurl, BenchPress, LegCurl, LegPress, Riding, RopeSkipping, Running, Squat, StairsClimber, Walking",GYM,Exercise recognition,TRUE
K004,CMI - Detect Behavior with Sensor Data Dataset,Kaggle,CMI - Detect Behavior with Sensor Data Dataset | Kaggle,"IMU, thermopile, ToF","Wirst, dominant arm",ND,"576,000",83 (age from 10 to 83),ND,BFRBs(Body Focused Ripetitive Behavior),HAR,Gesture recognition,TRUE
K005,IMU data human activity,Kaggle,IMU data human activity,"Accelerometer, gyroscope",ND,ND,"34,000",5,2 sessions,various,HAR,Activity recognition,TRUE
K006,AI-Powered IMU Motion Dataset,Kaggle,AI-Powered IMU Motion Dataset,IMU,Wirst,100,"320,000",4,ND,"Jump, shoot",Basket,Motion classification,TRUE
K007,6G-SDN Sports Motion Dataset,Kaggle,6G-SDN Sports Motion Dataset,"IMU, high speed camera",Various,ND,1000,597,4 years,"Kick, run, dribble etc",Football,Motion recognition,TRUE
K008,Gym Workout IMU Dataset,Kaggle,Gym Workout IMU Dataset,AppleWatch SE,Wirst (left),100,"~1,400,000",ND,ND,various,GYM,Exercise recognition,TRUE
K009,Walker Fall Detection Dataset,Kaggle,Walker Fall Detection Dataset,"Accelerometer, gyroscope on arduino",walker,100-80,2480,ND,ND,Step/movement/fall,Health,fall recognition,TRUE
K010,Head Posture detection based on 3 Inertial Sensors,Kaggle,Head Posture detection based on 3 Inertial Sensors,IMU,head/neck,50,"45,100",1,ND,Head movement,Health,Head posture ,TRUE
K011,Human activity recognition,Kaggle,Human activity recognition,IMU,Arm,ND,"~24,000",1,4 sessions,Arm movement,Robotics,Movement classification,TRUE
K012,Swimming styles IMU data,Kaggle,Swimming styles IMU data,IMU,Lower Back,25,"~65,000",1,40 minutes (10 eachsession),Swimming style,Swimming,Style recognition,TRUE
K013,IMU Data for AI,Kaggle,IMU Data for AI,IMU,ND,100,"~1,260,000",1,"3,5hrs",various,AI Training,movement recognition,TRUE
K014,ACTIVITY-DETECTION-IMU-SENSOR,Kaggle,ACTIVITY-DETECTION-IMU-SENSOR,IMU,Wirst,20,"1,098,207",36,ND,"Basic movement, Downstairs, Jogging, Sitting, Standing, Upstairs, Walking",NN training,movement classification,TRUE
K015,IMU data on Walking and Running (Unlabeled),Kaggle,IMU data on Walking and Running (Unlabeled),IMU,feet,100,"120,000",1,11hrs,"walking, running",HAR,activity classification,TRUE
K016,Multimodal Athlete Performance Sensor Dataset,Kaggle,Multimodal Athlete Performance Sensor Dataset,"IMU, PPG, EMG",ND,30,1000,50,ND,"Walking, running, change of directions, speed, jump",HAR,Biomechanical analysis,TRUE
K017,Biomechanical Analysis for Injury Prevention,Kaggle,Biomechanical Analysis for Injury Prevention,IMU,ND,ND,1000,1000(age from 18 to 49),ND,"Squat, lunges, jumps, other movement",GYM,injury prevention,TRUE
K018,Multimodal Sports Injury Dataset,Kaggle,Multimodal Sports Injury Dataset,"IMU, EMG, enviromental","chest, wirst, ankles",50-200,"15,420",156,6 months(30-180 min each session),viarous,HAR in sports,predictive modeling of sports injury risk,TRUE
K019,Exercise Detection dataset,Kaggle,Exercise Detection dataset,Camera,left pov,ND,"31,000",1,ND,"push-ups, jumping jacks, pull-ups, squats, and Russian twists",GYM,exercise recognition,TRUE
K020,LSTM Exercise Classification: Push Up Videos,Kaggle,LSTM Exercise Classification: Push Up Videos,Camera,various pov,ND,200,ND,ND,push up,GYM,exercise classification,TRUE
K021,Motion Attitude Error Detection Dataset,Kaggle,Motion Attitude Error Detection Dataset,IMU,ND,ND,"5,000",100,ND,various,HAR,Posture detection,TRUE
K022,HAR Dataset - Laica Laboratory,Kaggle,HAR Dataset - Laica Laboratory | Kaggle,Accelerometer,ND,50,"13,600",ND,45 min,"Standing, walking, jumping, squatting",HAR,activity recognition,TRUE
K023,Human_Acitivity_Recognition,Kaggle,Human_Acitivity_Recognition | Kaggle,IMU,ND,50,"2,947",30,ND,"Walking, standing, sitting, etc",HAR,activity recognition,TRUE
K024,Human Activity Recognition with Smartphones,Kaggle,Human Activity Recognition with Smartphones,Smartphone IMU,waist,50,"12,990",30,ND,"Walking, walking upstairs/downstairs, sitting, standing, laying",HAR,activity recognition,TRUE
K025,Human Activity Recognition Trondheim (HARTH),Kaggle,Human Activity Recognition Trondheim (HARTH),accelerometers,"right thigh, lower back",50,"1,700,000",22,2 hrs,Different activity including cycling,HAR,activity recognition,TRUE
K026,HAR self-collected dataset,Kaggle,HAR self-collected dataset,IMU,Waist,10,800,10,8 sessions each partecipant ,"Walking, sitting, standing, lying, running, climbing stairs, cycling, falling",HAR,activity recognition,TRUE
K027,Human Activity Recognition Dataset,Kaggle,Human Activity Recognition Dataset,Smartphone IMU,Pocket,100,"~10,000",90,ND,"18 different activities(including walking, sitting and some gyms activities)",HAR,activity recognition,TRUE
K028,Wearable Sensor System for Physical Education,Kaggle,Wearable Sensor System for Physical Education,"IMU, thermometer, heart rate",ND,1,500,1,~8 min,"Rest, walking, running, cycling",HAR,injury risk prevention,TRUE
K029,Sports Injury Traceability Dataset,Kaggle,Sports Injury Traceability Dataset,"IMU, others",various,ND,"2,000",ND,ND,Athletes motion,HAR,injury risk assessment,TRUE
G001,CAPTURE-24: Human activity recognition with activity trackers,GitHub,OxWearables/capture24: CAPTURE-24: Human activity recognition with activity trackers,"Smartwatch accelerometers, body camera",wrist,100,"5,000",150,24hrs,daily activities,HAR,Activity recognition,TRUE
G002,MHEALTH,GitHub,MHEALTH - UCI Machine Learning Repository,"IMU, camera","chest, lower arms, ankles",50,,10,ND,12 different activities,HAR,Activity recognition,FALSE
G003,,GitHub,,,,,,,,,,,FALSE
G004,,GitHub,,,,,,,,,,,FALSE
G005,,GitHub,,,,,,,,,,,FALSE
G006,,GitHub,,,,,,,,,,,FALSE
G007,,GitHub,,,,,,,,,,,FALSE
G008,,GitHub,,,,,,,,,,,FALSE
G009,,GitHub,,,,,,,,,,,FALSE
G010,,GitHub,,,,,,,,,,,FALSE
G011,,GitHub,,,,,,,,,,,FALSE
